PartNumber,PartDescription,active,ItemCost,ItemCurrencyCode,Length,Width,Height,DimensionUOM,Weight,WeightUOM,Quantity
05-0731-01,"OP PAS,CDC_IR_N_850_PS_NM",TRUE,10337,USD,,,,,,,0
05-0732-01,"OP PAS,CDC_IR_N_900_PS_NM",TRUE,10838,USD,,,,,,,0
05-0733-01,"OP PAS,CDC_IR_N_950_PS_NM",TRUE,11391,USD,,,,,,,0
05-0734-01,"OP PAS,CDC_IR_N_1000_PS_NM",TRUE,11945,USD,,,,,,,0
05-0735-01,"OP PAS,CDC_IR_N_1100_PS_NM",TRUE,12985,USD,,,,,,,0
05-0736-01,"OP PAS,CDC_IR_N_1150_PS_NM",TRUE,13535,USD,,,,,,,0
05-0737-01,"OP PAS,CDC_IR_N_1200_PS_NM",TRUE,14084,USD,,,,,,,0
05-0738-01,"OP PAS,CDC_IR_N_1250_PS_NM",TRUE,14636,USD,,,,,,,0
05-0739-01,"OP PAS,CDC_IR_N_1300_PS_NM",TRUE,15185,USD,,,,,,,0
05-0740-01,"OP PAS,CDC_IR_N_1350_PS_NM",TRUE,15735,USD,,,,,,,0
05-0741-01,"OP PAS,CDC_IR_N_1400_PS_NM",TRUE,16285,USD,,,,,,,0
05-0742-01,"OP PAS,CDC_IR_N_1450_PS_NM",TRUE,16751,USD,,,,,,,0
05-0743-01,"OP PAS,CDC_IR_N_1500_PS_NM",TRUE,17298,USD,,,,,,,0
05-0744-01,"OP PAS,CDC_IR_N_1550_PS_NM",TRUE,17884,USD,,,,,,,0
05-0745-01,"OP PAS,CDC_IR_N_1600_PS_NM",TRUE,18433,USD,,,,,,,0
05-0746-01,"OP PAS,CDC_IR_N_1650_PS_NM",TRUE,18884,USD,,,,,,,0
05-0747-01,"OP PAS,CDC_IR_N_1700_PS_NM",TRUE,19431,USD,,,,,,,0
05-0748-01,"OP PAS,CDC_IR_N_1750_PS_NM",TRUE,19976,USD,,,,,,,0
05-0749-01,"OP PAS,CDC_IR_N_1050_PS_NM",TRUE,12435,USD,,,,,,,0
05-0750-01,"OP PAS,CDC_C-band_N_50_PS_NM",TRUE,1156,USD,,,,,,,0
05-0751-01,"OP PAS,CDC_C-band_N_100_PS_NM",TRUE,1710,USD,,,,,,,0
05-0752-01,"OP PAS,CDC_C-band_N_150_PS_NM",TRUE,2229,USD,,,,,,,0
05-0753-01,"OP PAS,CDC_C-band_N_200_PS_NM",TRUE,1352,USD,,,,,,,0
05-0754-01,"OP PAS,CDC_C-band_N_250_PS_NM",TRUE,1509,USD,,,,,,,0
05-0755-01,"OP PAS,CDC_C-band_N_300_PS_NM",TRUE,1666,USD,,,,,,,0
05-0756-01,"OP PAS,CDC_C-band_N_350_PS_NM",TRUE,1823,USD,,,,,,,0
05-0757-01,"OP PAS,CDC_C-band_N_400_PS_NM",TRUE,1980,USD,,,,,,,0
05-0758-01,"OP PAS,CDC_C-band_N_450_PS_NM",TRUE,3158,USD,,,,,,,0
05-0759-01,"OP PAS,CDC_C-band_N_500_PS_NM",TRUE,5510,USD,,,,,,,0
05-0760-01,"OP PAS,CDC_C-band_N_550_PS_NM",TRUE,5985,USD,,,,,,,0
05-0761-01,"OP PAS,CDC_C-band_N_600_PS_NM",TRUE,6450,USD,,,,,,,0
05-0762-01,"OP PAS,CDC_C-band_N_650_PS_NM",TRUE,6935,USD,,,,,,,0
05-0763-01,"OP PAS,CDC_C-band_N_700_PS_NM",TRUE,7410,USD,,,,,,,0
05-0764-01,"OP PAS,CDC_C-band_N_750_PS_NM",TRUE,4718,USD,,,,,,,0
05-0765-01,"OP PAS,CDC_C-band_N_800_PS_NM",TRUE,5865.6,USD,,,,,,,0
05-0766-01,"OP PAS,CDC_C-band_N_850_PS_NM",TRUE,8835,USD,,,,,,,0
05-0767-01,"OP PAS,CDC_C-band_N_900_PS_NM",TRUE,9263,USD,,,,,,,0
05-0768-01,"OP PAS,CDC_C-band_N_950_PS_N",TRUE,9736,USD,,,,,,,0
05-0769-01,"OP PAS,CDC_C-band_N_1000_PS_NM",TRUE,7192.8,USD,,,,,,,0
05-0770-01,"OP PAS,CDC_C-band_N_1050_PS_NM",TRUE,10628,USD,,,,,,,0
05-0771-01,"OP PAS,CDC_C-band_N_1100_PS_NM",TRUE,11098,USD,,,,,,,0
05-0772-01,"OP PAS,CDC_C-band_N_1150_PS_NM",TRUE,11568,USD,,,,,,,0
05-0773-01,"OP PAS,CDC_C-band_N_1200_PS_NM",TRUE,8606,USD,,,,,,,0
05-0774-01,"OP PAS,CDC_C-band_N_1250_PS_NM",TRUE,12509,USD,,,,,,,0
05-0775-01,"OP PAS,CDC_C-band_N_1300_PS_NM",TRUE,10180,USD,,,,,,,0
05-0776-01,"OP PAS,CDC_C-band_N_1350_PS_NM",TRUE,13449,USD,,,,,,,0
05-0777-01,"OP PAS,CDC_C-band_N_1400_PS_NM",TRUE,13919,USD,,,,,,,0
